year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,awards,diff_fgm,diff_fga,diff_ftm,diff_fta,diff_3pm,diff_3pa,diff_oreb,diff_dreb,diff_reb,diff_asts,diff_pf,diff_stl,diff_to,diff_blk,diff_pts,diff_tmORB,diff_tmDRB,diff_tmTRB,diff_won,diff_homeW,diff_awayW,diff_confW,diff_W,mean_diff_fgm,mean_diff_fga,mean_diff_ftm,mean_diff_fta,mean_diff_3pm,mean_diff_3pa,mean_diff_oreb,mean_diff_dreb,mean_diff_reb,mean_diff_asts,mean_diff_pf,mean_diff_stl,mean_diff_to,mean_diff_blk,mean_diff_pts,mean_diff_tmORB,mean_diff_tmDRB,mean_diff_tmTRB,mean_diff_won,mean_diff_homeW,mean_diff_awayW,mean_diff_confW,mean_diff_W,next_year_playoff
5,WNBA,MIN,MIN,WE,,3,1,0,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,1056,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,1036,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097,Target Center,0.0,2.0,2,-37,-72,-36,-29,85,212,9,11,20,18,-16,-76,111,6,-25,0,0,0,2,5,-3,2,-2.0,-25.666666666666668,-77.66666666666667,-31.666666666666668,-22.333333333333332,69.66666666666667,167.33333333333334,14.0,29.333333333333332,43.333333333333336,29.333333333333332,-21.333333333333332,-60.333333333333336,103.0,-4.333333333333333,-13.333333333333334,0.0,0.0,0.0,2.0,5.0,-3.0,2.6666666666666665,-1.6666666666666667,0.0
6,WNBA,MIN,MIN,WE,,6,0,0,,,,Minnesota Lynx,801,1946,437,601,172,492,310,715,1025,531,624,258,536,127,2211,862,2019,435,592,129,376,344,711,1055,537,665,275,487,144,2288,0,0,0,0,0,0,14,20,34,11,6,3,14,9,13,6850,113447,Target Center,0.0,0.0,0,-61,-73,2,9,43,116,-34,4,-30,-6,-41,-17,49,-17,-77,0,0,0,-6,5,-11,-4,0.0,-53.0,-72.66666666666667,-10.666666666666666,-3.6666666666666665,57.0,148.0,-19.666666666666668,6.333333333333333,-13.333333333333334,2.0,-32.666666666666664,-36.666666666666664,69.66666666666667,-9.333333333333334,-59.666666666666664,0.0,0.0,0.0,-3.3333333333333335,5.0,-8.333333333333334,-2.0,-0.6666666666666666,0.0
7,WNBA,MIN,MIN,WE,,7,0,0,,,,Minnesota Lynx,945,2211,485,681,148,419,340,804,1144,491,654,193,530,113,2523,1004,2314,548,719,179,542,372,832,1204,625,633,308,438,124,2735,0,0,0,0,0,0,10,24,34,8,9,2,15,6,14,6825,109522,Target Center,0.0,0.0,1,-59,-103,-63,-38,-31,-123,-32,-28,-60,-134,21,-115,92,-11,-212,0,0,0,-14,-1,-13,-8,0.0,-59.666666666666664,-93.0,-41.333333333333336,-22.333333333333332,-6.333333333333333,-43.333333333333336,-32.666666666666664,-17.333333333333332,-50.0,-91.33333333333333,0.3333333333333333,-82.33333333333333,77.66666666666667,-13.0,-167.0,0.0,0.0,0.0,-11.333333333333334,1.0,-12.333333333333334,-6.666666666666667,0.0,0.0
8,WNBA,MIN,MIN,WE,,6,0,0,,,,Minnesota Lynx,971,2355,531,674,163,496,397,785,1182,596,713,238,561,95,2636,988,2195,614,785,162,461,318,800,1118,565,645,279,529,147,2752,0,0,0,0,0,0,10,24,34,7,10,3,14,8,14,6875,121019,Target Center,0.0,0.0,0,-17,160,-83,-111,1,35,79,-15,64,31,68,-41,32,-52,-116,0,0,0,-14,-3,-11,-6,0.0,-31.0,72.33333333333333,-76.33333333333333,-86.66666666666667,-9.666666666666666,-17.666666666666668,42.0,-19.333333333333332,22.666666666666668,-24.0,52.333333333333336,-65.66666666666667,52.0,-38.333333333333336,-148.0,0.0,0.0,0.0,-14.0,-2.3333333333333335,-11.666666666666666,-6.666666666666667,0.0,0.0
9,WNBA,MIN,MIN,WE,,7,0,0,,,,Minnesota Lynx,991,2303,652,864,133,413,353,792,1145,557,751,309,472,131,2767,974,2220,612,809,161,486,350,862,1212,587,748,248,579,140,2721,0,0,0,0,0,0,16,18,34,9,8,7,10,8,12,6900,118463,Target Center,0.0,0.0,1,17,83,40,55,-28,-73,3,-70,-67,-30,3,61,-107,-9,46,0,0,0,-2,1,-3,-4,0.0,5.666666666666667,108.66666666666667,-1.0,-0.3333333333333333,-18.333333333333332,-37.0,28.333333333333332,-51.666666666666664,-23.333333333333332,-9.666666666666666,24.666666666666668,27.0,-60.666666666666664,-23.333333333333332,-8.0,0.0,0.0,0.0,-6.0,-0.3333333333333333,-5.666666666666667,-4.666666666666667,0.0,0.0
10,WNBA,MIN,MIN,WE,,5,0,0,,,,Minnesota Lynx,949,2257,591,766,242,695,325,762,1087,509,693,301,513,128,2731,1041,2260,550,711,195,510,317,848,1165,589,694,250,543,140,2827,0,0,0,0,0,0,14,20,34,9,8,5,12,7,13,6875,128127,Target Center,0.0,0.0,0,-92,-3,41,55,47,185,8,-86,-78,-80,-1,51,-30,-12,-96,0,0,0,-6,1,-7,-6,0.0,-55.666666666666664,25.666666666666668,40.666666666666664,55.0,22.0,99.0,6.333333333333333,-80.66666666666667,-74.33333333333333,-63.333333333333336,0.3333333333333333,54.333333333333336,-55.666666666666664,-11.0,-48.666666666666664,0.0,0.0,0.0,-4.666666666666667,1.0,-5.666666666666667,-5.333333333333333,0.0,
1,WNBA,NYL,NYL,EA,,1,1,0,W,W,L,New York Liberty,792,1815,429,567,135,396,288,652,940,477,617,246,474,102,2148,741,1822,437,590,116,420,320,647,967,462,645,223,479,94,2035,0,0,0,0,0,0,20,12,32,12,4,8,8,14,7,6425,231962,Madison Square Garden (IV),4.0,3.0,1,51,-7,-8,-23,19,-24,-32,5,-27,15,-28,23,-5,8,113,0,0,0,8,8,0,7,1.0,51.0,-7.0,-8.0,-23.0,19.0,-24.0,-32.0,5.0,-27.0,15.0,-28.0,23.0,-5.0,8.0,113.0,0.0,0.0,0.0,8.0,8.0,0.0,7.0,1.0,1.0
2,WNBA,NYL,NYL,EA,,2,1,0,W,L,,New York Liberty,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,0,0,0,0,0,0,21,11,32,13,3,8,8,13,8,6400,250565,Madison Square Garden (IV),3.0,3.0,1,89,69,-125,-140,27,27,-49,-19,-68,123,16,42,-59,6,80,0,0,0,10,10,0,5,0.0,76.33333333333333,43.666666666666664,-86.0,-101.0,24.333333333333332,10.0,-43.333333333333336,-11.0,-54.333333333333336,87.0,1.3333333333333333,35.666666666666664,-41.0,6.666666666666667,91.0,0.0,0.0,0.0,9.333333333333334,9.333333333333334,0.0,5.666666666666667,0.3333333333333333,1.0
3,WNBA,NYL,NYL,EA,,1,1,0,W,W,L,New York Liberty,772,1740,400,567,145,400,260,610,870,496,638,261,458,100,2089,691,1733,484,645,149,434,312,649,961,410,597,228,478,88,2015,0,0,0,0,0,0,18,14,32,10,6,8,8,11,10,6450,234717,Madison Square Garden (IV),4.0,4.0,0,81,7,-84,-78,-4,-34,-52,-39,-91,86,41,33,-20,12,74,0,0,0,4,4,0,1,0.0,83.66666666666667,27.666666666666668,-97.66666666666667,-98.66666666666667,6.333333333333333,-13.666666666666666,-51.0,-32.333333333333336,-83.33333333333333,98.33333333333333,32.666666666666664,36.0,-33.0,10.0,76.0,0.0,0.0,0.0,6.0,6.0,0.0,2.3333333333333335,0.0,0.0
4,WNBA,NYL,NYL,EA,,6,0,0,,,,New York Liberty,825,1923,412,537,181,500,271,686,957,527,587,262,470,128,2243,821,1959,459,581,155,467,326,736,1062,506,614,269,480,96,2256,0,0,0,0,0,0,16,18,34,11,6,5,12,11,13,6850,212346,Madison Square Garden (IV),0.0,0.0,0,4,-36,-47,-44,26,33,-55,-50,-105,21,-27,-7,-10,32,-13,0,0,0,-2,5,-7,-2,0.0,29.666666666666668,-21.666666666666668,-59.333333333333336,-55.333333333333336,16.0,10.666666666666666,-54.0,-46.333333333333336,-100.33333333333333,42.666666666666664,-4.333333333333333,6.333333333333333,-13.333333333333334,25.333333333333332,16.0,0.0,0.0,0.0,0.0,4.666666666666667,-4.666666666666667,-1.0,0.0,1.0
5,WNBA,NYL,NYL,EA,,2,1,0,W,L,,New York Liberty,819,1932,398,531,216,617,263,741,1004,539,587,209,506,124,2252,867,2096,431,579,132,416,371,730,1101,517,589,288,430,123,2297,0,0,0,0,0,0,18,16,34,11,6,7,10,10,10,6900,168062,Madison Square Garden (IV),2.0,3.0,0,-48,-164,-33,-48,84,201,-108,11,-97,22,-2,-79,76,1,-45,0,0,0,2,5,-3,0,-1.0,-30.666666666666668,-121.33333333333333,-37.666666666666664,-46.666666666666664,64.66666666666667,145.0,-90.33333333333333,-9.333333333333334,-99.66666666666667,21.666666666666668,-10.333333333333334,-55.0,47.333333333333336,11.333333333333334,-34.333333333333336,0.0,0.0,0.0,0.6666666666666666,5.0,-4.333333333333333,-0.6666666666666666,-0.6666666666666666,1.0
6,WNBA,NYL,NYL,EA,,3,1,0,L,,,New York Liberty,828,1860,452,552,208,605,242,732,974,498,613,214,462,112,2316,859,2012,442,608,125,398,345,685,1030,473,590,275,411,86,2285,0,0,0,0,0,0,18,16,34,10,7,8,9,9,11,6925,172381,Madison Square Garden (IV),0.0,2.0,0,-31,-152,10,-56,83,207,-103,47,-56,25,23,-61,51,26,31,0,0,0,2,3,-1,-2,-2.0,-36.666666666666664,-156.0,-4.333333333333333,-53.333333333333336,83.33333333333333,205.0,-104.66666666666667,35.0,-69.66666666666667,24.0,14.666666666666666,-67.0,59.333333333333336,17.666666666666668,5.666666666666667,0.0,0.0,0.0,2.0,3.6666666666666665,-1.6666666666666667,-1.3333333333333333,-1.6666666666666667,0.0
7,WNBA,NYL,NYL,EA,,5,0,0,,,,New York Liberty,822,2069,512,650,216,645,285,736,1021,475,674,252,576,112,2372,966,2153,553,722,171,461,341,832,1173,508,668,270,485,134,2656,0,0,0,0,0,0,11,23,34,7,10,4,13,7,13,6875,155048,Madison Square Garden (IV),0.0,0.0,0,-144,-84,-41,-72,45,184,-56,-96,-152,-33,6,-18,91,-22,-284,0,0,0,-12,-3,-9,-6,0.0,-106.33333333333333,-106.66666666666667,-24.0,-66.66666666666667,57.666666666666664,191.66666666666666,-71.66666666666667,-48.333333333333336,-120.0,-13.666666666666666,11.666666666666666,-32.333333333333336,77.66666666666667,-6.0,-179.0,0.0,0.0,0.0,-7.333333333333333,-1.0,-6.333333333333333,-4.666666666666667,-0.6666666666666666,1.0
8,WNBA,NYL,NYL,EA,,4,1,0,L,,,New York Liberty,870,2087,430,580,243,653,287,788,1075,500,618,289,612,109,2413,920,2223,471,619,190,589,378,837,1215,509,608,321,562,115,2501,0,0,0,0,0,0,16,18,34,10,7,6,11,10,10,6850,147866,Madison Square Garden (IV),1.0,2.0,1,-50,-136,-41,-39,53,64,-91,-49,-140,-9,10,-32,50,-6,-88,0,0,0,-2,3,-5,0,-1.0,-81.33333333333333,-118.66666666666667,-41.0,-50.0,50.333333333333336,104.0,-79.33333333333333,-64.66666666666667,-144.0,-17.0,8.666666666666666,-27.333333333333332,63.666666666666664,-11.333333333333334,-153.33333333333334,0.0,0.0,0.0,-5.333333333333333,1.0,-6.333333333333333,-2.0,-0.6666666666666666,1.0
9,WNBA,NYL,NYL,EA,,3,1,0,W,L,,New York Liberty,912,2168,490,653,259,706,327,778,1105,551,655,290,547,117,2573,924,2163,516,674,174,485,352,823,1175,496,625,285,559,109,2538,0,0,0,0,0,0,19,15,34,11,6,8,9,11,9,6900,153772,Madison Square Garden (IV),3.0,3.0,0,-12,5,-26,-21,85,221,-25,-45,-70,55,30,5,-12,8,35,0,0,0,4,5,-1,2,0.0,-24.666666666666668,-42.0,-31.0,-27.0,74.33333333333333,168.66666666666666,-47.0,-46.333333333333336,-93.33333333333333,33.666666666666664,23.333333333333332,-7.333333333333333,8.666666666666666,3.3333333333333335,-6.0,0.0,0.0,0.0,2.0,4.333333333333333,-2.3333333333333335,1.3333333333333333,-0.3333333333333333,0.0
10,WNBA,NYL,NYL,EA,,7,0,0,,,,New York Liberty,900,2168,458,582,254,710,280,802,1082,526,637,276,543,121,2512,906,2157,531,673,192,554,333,869,1202,482,590,269,548,124,2535,0,0,0,0,0,0,13,21,34,8,9,5,12,9,13,6900,166604,Madison Square Garden (IV),0.0,0.0,0,-6,11,-73,-91,62,156,-53,-67,-120,44,47,7,-5,-3,-23,0,0,0,-8,-1,-7,-4,0.0,-8.0,9.0,-57.333333333333336,-67.66666666666667,69.66666666666667,177.66666666666666,-43.666666666666664,-59.666666666666664,-103.33333333333333,47.666666666666664,41.333333333333336,6.333333333333333,-7.333333333333333,0.6666666666666666,-3.6666666666666665,0.0,0.0,0.0,-4.0,1.0,-5.0,-2.0,0.0,
1,WNBA,ORL,CON,EA,,3,1,0,L,,,Orlando Miracle,833,1911,397,546,145,424,319,606,925,473,583,255,486,130,2208,851,1964,378,495,153,450,348,669,1017,536,637,264,500,108,2233,0,0,0,0,0,0,16,16,32,11,5,5,11,13,8,6500,117810,Amway Arena,1.0,2.0,0,-18,-53,19,51,-8,-26,-29,-63,-92,-63,-54,-9,-14,22,-25,0,0,0,0,6,-6,5,-1.0,-18.0,-53.0,19.0,51.0,-8.0,-26.0,-29.0,-63.0,-92.0,-63.0,-54.0,-9.0,-14.0,22.0,-25.0,0.0,0.0,0.0,0.0,6.0,-6.0,5.0,-1.0,0.0
2,WNBA,ORL,CON,EA,,5,0,0,,,,Orlando Miracle,768,1914,430,587,174,532,356,614,970,452,643,320,532,125,2140,806,1831,436,605,157,438,316,659,975,534,600,298,546,114,2205,0,0,0,0,0,0,13,19,32,10,6,3,13,9,12,6450,118874,Amway Arena,0.0,0.0,0,-38,83,-6,-18,17,94,40,-45,-5,-82,43,22,-14,11,-65,0,0,0,-6,4,-10,-3,0.0,-31.333333333333332,37.666666666666664,2.3333333333333335,5.0,8.666666666666666,54.0,17.0,-51.0,-34.0,-75.66666666666667,10.666666666666666,11.666666666666666,-14.0,14.666666666666666,-51.666666666666664,0.0,0.0,0.0,-4.0,4.666666666666667,-8.666666666666666,-0.3333333333333333,-0.3333333333333333,0.0
3,WNBA,ORL,CON,EA,,5,0,0,,,,Orlando Miracle,808,1914,493,646,145,461,320,595,915,446,669,295,456,113,2254,804,1862,491,668,156,422,362,684,1046,519,637,251,541,108,2255,0,0,0,0,0,0,16,16,32,10,6,6,10,13,8,6525,113837,Amway Arena,0.0,0.0,0,4,52,2,-22,-11,39,-42,-89,-131,-73,32,44,-85,5,-1,0,0,0,0,4,-4,5,0.0,-10.0,62.333333333333336,-0.6666666666666666,-20.666666666666668,-1.6666666666666667,57.333333333333336,-14.666666666666666,-74.33333333333333,-89.0,-76.0,35.666666666666664,36.666666666666664,-61.333333333333336,7.0,-22.333333333333332,0.0,0.0,0.0,-2.0,4.0,-6.0,2.3333333333333335,0.0,
1,WNBA,PHO,PHO,WE,,4,1,0,L,,,Phoenix Mercury,803,1800,513,661,124,394,275,619,894,465,630,285,429,91,2243,773,1828,421,574,135,416,334,635,969,486,699,224,531,91,2102,0,0,0,0,0,0,20,12,32,11,5,9,7,11,10,6425,161075,US Airways Center,0.0,2.0,0,30,-28,92,87,-11,-22,-59,-16,-75,-21,-69,61,-102,0,141,0,0,0,8,6,2,1,-2.0,30.0,-28.0,92.0,87.0,-11.0,-22.0,-59.0,-16.0,-75.0,-21.0,-69.0,61.0,-102.0,0.0,141.0,0.0,0.0,0.0,8.0,6.0,2.0,1.0,-2.0,0.0
2,WNBA,PHO,PHO,WE,,5,0,0,,,,Phoenix Mercury,767,1894,429,587,101,313,300,642,942,514,625,292,519,138,2064,785,1892,462,584,137,391,333,698,1031,524,603,283,517,127,2169,0,0,0,0,0,0,13,19,32,10,6,3,13,8,13,6450,136979,US Airways Center,0.0,0.0,0,-18,2,-33,3,-36,-78,-33,-56,-89,-10,22,9,2,11,-105,0,0,0,-6,4,-10,-5,0.0,-2.0,-8.0,8.666666666666666,31.0,-27.666666666666668,-59.333333333333336,-41.666666666666664,-42.666666666666664,-84.33333333333333,-13.666666666666666,-8.333333333333334,26.333333333333332,-32.666666666666664,7.333333333333333,-23.0,0.0,0.0,0.0,-1.3333333333333333,4.666666666666667,-6.0,-3.0,-0.6666666666666666,0.0
3,WNBA,PHO,PHO,WE,,7,0,0,,,,Phoenix Mercury,793,1889,405,538,100,328,292,626,918,427,623,267,501,94,2091,850,1870,436,608,155,388,309,692,1001,532,600,268,491,127,2291,0,0,0,0,0,0,11,21,32,10,6,1,15,7,14,6400,139798,US Airways Center,0.0,0.0,1,-57,19,-31,-70,-55,-60,-17,-66,-83,-105,23,-1,10,-33,-200,0,0,0,-10,4,-14,-7,0.0,-44.0,13.333333333333334,-31.666666666666668,-45.666666666666664,-48.666666666666664,-66.0,-22.333333333333332,-62.666666666666664,-85.0,-73.33333333333333,22.666666666666668,2.3333333333333335,7.333333333333333,-18.333333333333332,-168.33333333333334,0.0,0.0,0.0,-8.666666666666666,4.0,-12.666666666666666,-6.333333333333333,0.0,0.0
4,WNBA,PHO,PHO,WE,,7,0,0,,,,Phoenix Mercury,801,2095,379,556,116,349,357,643,1000,461,664,310,479,111,2097,834,1867,466,626,136,371,303,811,1114,509,667,275,610,146,2270,0,0,0,0,0,0,8,26,34,6,11,2,15,5,19,6925,144511,US Airways Center,0.0,0.0,0,-33,228,-87,-70,-20,-22,54,-168,-114,-48,-3,35,-131,-35,-173,0,0,0,-18,-5,-13,-14,0.0,-41.0,158.33333333333334,-68.33333333333333,-70.0,-31.666666666666668,-34.666666666666664,30.333333333333332,-134.0,-103.66666666666667,-67.0,5.666666666666667,23.0,-84.0,-34.333333333333336,-182.0,0.0,0.0,0.0,-15.333333333333334,-2.0,-13.333333333333334,-11.666666666666666,0.0,0.0
5,WNBA,PHO,PHO,WE,,5,0,0,,,,Phoenix Mercury,826,1922,456,598,192,519,264,652,916,501,748,282,464,137,2300,784,1845,534,724,133,348,309,711,1020,456,660,226,536,137,2235,0,0,0,0,0,0,17,17,34,10,7,7,10,11,11,6825,136295,US Airways Center,0.0,0.0,1,42,77,-78,-126,59,171,-45,-59,-104,45,88,56,-72,0,65,0,0,0,0,3,-3,0,0.0,17.0,127.33333333333333,-81.0,-107.33333333333333,32.666666666666664,106.66666666666667,-12.0,-95.33333333333333,-107.33333333333333,14.0,57.666666666666664,49.0,-91.66666666666667,-11.666666666666666,-14.333333333333334,0.0,0.0,0.0,-6.0,0.3333333333333333,-6.333333333333333,-4.666666666666667,0.0,0.0
6,WNBA,PHO,PHO,WE,,5,0,0,,,,Phoenix Mercury,826,1994,531,693,178,539,342,720,1062,549,697,243,517,179,2361,855,1993,523,720,121,332,319,705,1024,470,672,265,483,112,2354,0,0,0,0,0,0,16,18,34,11,6,5,12,12,10,6800,124146,US Airways Center,0.0,0.0,0,-29,1,8,-27,57,207,23,15,38,79,25,-22,34,67,7,0,0,0,-2,5,-7,2,0.0,-5.333333333333333,26.333333333333332,-20.666666666666668,-60.0,57.666666666666664,195.0,0.3333333333333333,-9.666666666666666,-9.333333333333334,67.66666666666667,46.0,4.0,-1.3333333333333333,44.666666666666664,26.333333333333332,0.0,0.0,0.0,-1.3333333333333333,4.333333333333333,-5.666666666666667,1.3333333333333333,0.0,0.0
7,WNBA,PHO,PHO,WE,,5,0,0,,,,Phoenix Mercury,1079,2434,537,684,265,722,334,811,1145,640,741,275,442,127,2960,1023,2360,630,852,203,618,408,875,1283,578,669,231,537,126,2879,0,0,0,0,0,0,18,16,34,10,7,8,9,8,12,6900,126801,US Airways Center,0.0,0.0,1,56,74,-93,-168,62,104,-74,-64,-138,62,72,44,-95,1,81,0,0,0,2,3,-1,-4,0.0,27.666666666666668,49.666666666666664,-59.333333333333336,-121.0,60.333333333333336,138.33333333333334,-41.666666666666664,-37.666666666666664,-79.33333333333333,67.66666666666667,56.333333333333336,22.0,-52.0,23.0,56.333333333333336,0.0,0.0,0.0,0.6666666666666666,3.6666666666666665,-3.0,-2.0,0.0,1.0
8,WNBA,PHO,PHO,WE,,1,1,0,W,W,W,Phoenix Mercury,1063,2419,616,754,283,802,279,873,1152,683,658,285,486,159,3025,1022,2526,570,716,290,762,445,945,1390,628,684,244,595,109,2904,0,0,0,0,0,0,23,11,34,12,5,11,6,17,5,6850,131524,US Airways Center,7.0,2.0,1,41,-107,46,38,-7,40,-166,-72,-238,55,-26,41,-109,50,121,0,0,0,12,7,5,12,5.0,46.0,-46.666666666666664,-0.3333333333333333,-30.666666666666668,16.0,61.333333333333336,-135.33333333333334,-69.33333333333333,-204.66666666666666,57.333333333333336,6.666666666666667,42.0,-104.33333333333333,33.666666666666664,107.66666666666667,0.0,0.0,0.0,8.666666666666666,5.666666666666667,3.0,6.666666666666667,3.3333333333333335,0.0
9,WNBA,PHO,PHO,WE,,6,0,0,,,,Phoenix Mercury,1069,2485,642,773,230,701,375,851,1226,560,794,232,489,156,3010,1036,2460,694,932,243,695,440,858,1298,650,717,234,500,129,3009,0,0,0,0,0,0,16,18,34,10,7,6,11,8,12,6825,144867,US Airways Center,0.0,0.0,0,33,25,-52,-159,-13,6,-65,-7,-72,-90,77,-2,-11,27,1,0,0,0,-2,3,-5,-4,0.0,35.666666666666664,-19.0,-19.333333333333332,-93.33333333333333,-11.0,17.333333333333332,-98.66666666666667,-28.666666666666668,-127.33333333333333,-41.666666666666664,42.666666666666664,12.333333333333334,-43.666666666666664,34.666666666666664,41.0,0.0,0.0,0.0,2.6666666666666665,4.333333333333333,-1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0
10,WNBA,PHO,PHO,WE,,1,1,0,W,W,W,Phoenix Mercury,1128,2454,643,752,257,665,284,906,1190,625,740,225,500,181,3156,1094,2582,638,851,205,608,421,864,1285,607,671,260,460,143,3031,0,0,0,0,0,0,23,11,34,12,5,11,6,13,7,6900,144884,US Airways Center,7.0,4.0,3,34,-128,5,-99,52,57,-137,42,-95,18,69,-35,40,38,125,0,0,0,12,7,5,6,3.0,33.666666666666664,-77.0,-14.0,-119.0,30.333333333333332,40.0,-113.0,25.666666666666668,-87.33333333333333,-18.0,71.66666666666667,-24.0,23.0,34.333333333333336,83.66666666666667,0.0,0.0,0.0,7.333333333333333,5.666666666666667,1.6666666666666667,2.6666666666666665,2.0,
1,WNBA,POR,POR,WE,,7,0,0,,,,Portland Fire,761,1828,488,697,145,433,309,627,936,480,761,265,593,93,2155,788,1847,577,766,150,447,307,646,953,487,729,277,531,130,2303,0,0,0,0,0,0,10,22,32,6,10,4,12,4,17,6525,133076,Rose Garden Arena,0.0,0.0,0,-27,-19,-89,-69,-5,-14,2,-19,-17,-7,32,-12,62,-37,-148,0,0,0,-12,-4,-8,-13,0.0,-27.0,-19.0,-89.0,-69.0,-5.0,-14.0,2.0,-19.0,-17.0,-7.0,32.0,-12.0,62.0,-37.0,-148.0,0.0,0.0,0.0,-12.0,-4.0,-8.0,-13.0,0.0,0.0
2,WNBA,POR,POR,WE,,7,0,0,,,,Portland Fire,733,1891,450,612,172,519,300,696,996,451,633,244,500,106,2088,791,1944,461,656,159,410,343,763,1106,501,643,293,474,144,2202,0,0,0,0,0,0,11,21,32,6,10,5,11,5,16,6525,137656,Rose Garden Arena,0.0,0.0,1,-58,-53,-11,-44,13,109,-43,-67,-110,-50,-10,-49,26,-38,-114,0,0,0,-10,-4,-6,-11,0.0,-47.666666666666664,-41.666666666666664,-37.0,-52.333333333333336,7.0,68.0,-28.0,-51.0,-79.0,-35.666666666666664,4.0,-36.666666666666664,38.0,-37.666666666666664,-125.33333333333333,0.0,0.0,0.0,-10.666666666666666,-4.0,-6.666666666666667,-11.666666666666666,0.0,0.0
3,WNBA,POR,POR,WE,,5,0,0,,,,Portland Fire,829,1951,410,564,127,391,307,641,948,492,623,239,493,120,2195,819,1885,463,647,126,348,334,678,1012,486,616,272,508,139,2227,0,0,0,0,0,0,16,16,32,9,7,7,9,8,13,6475,128656,Rose Garden Arena,0.0,0.0,0,10,66,-53,-83,1,43,-27,-37,-64,6,7,-33,-15,-19,-32,0,0,0,0,2,-2,-5,0.0,-12.666666666666666,26.333333333333332,-39.0,-70.0,5.0,65.0,-32.333333333333336,-47.0,-79.33333333333333,-12.666666666666666,1.3333333333333333,-38.333333333333336,-1.3333333333333333,-25.333333333333332,-59.333333333333336,0.0,0.0,0.0,-3.3333333333333335,0.0,-3.3333333333333335,-7.0,0.0,
1,WNBA,SAC,SAC,WE,,3,1,0,L,,,Sacramento Monarchs,876,1993,449,650,142,459,388,650,1038,567,571,332,458,157,2343,811,1918,410,544,144,418,320,631,951,503,600,226,524,116,2176,0,0,0,0,0,0,21,11,32,13,3,8,8,13,8,6400,126841,ARCO Arena (II),0.0,2.0,0,65,75,39,106,-2,41,68,19,87,64,-29,106,-66,41,167,0,0,0,10,10,0,5,-2.0,65.0,75.0,39.0,106.0,-2.0,41.0,68.0,19.0,87.0,64.0,-29.0,106.0,-66.0,41.0,167.0,0.0,0.0,0.0,10.0,10.0,0.0,5.0,-2.0,1.0
2,WNBA,SAC,SAC,WE,,2,1,0,W,L,,Sacramento Monarchs,837,1974,457,618,163,423,374,723,1097,558,588,276,494,158,2294,804,2003,415,578,116,400,343,662,1005,496,616,261,481,143,2139,0,0,0,0,0,0,20,12,32,12,4,8,8,13,8,6525,133603,ARCO Arena (II),3.0,2.0,0,33,-29,42,40,47,23,31,61,92,62,-28,15,13,15,155,0,0,0,8,8,0,5,1.0,43.666666666666664,5.666666666666667,41.0,62.0,30.666666666666668,29.0,43.333333333333336,47.0,90.33333333333333,62.666666666666664,-28.333333333333332,45.333333333333336,-13.333333333333334,23.666666666666668,159.0,0.0,0.0,0.0,8.666666666666666,8.666666666666666,0.0,5.0,0.0,0.0
3,WNBA,SAC,SAC,WE,,6,0,0,,,,Sacramento Monarchs,780,1945,494,653,112,395,301,648,949,500,675,247,456,109,2166,815,1944,515,681,149,453,352,723,1075,493,633,233,496,128,2294,0,0,0,0,0,0,14,18,32,10,6,4,12,8,13,6575,144179,ARCO Arena (II),0.0,0.0,0,-35,1,-21,-28,-37,-58,-51,-75,-126,7,42,14,-40,-19,-128,0,0,0,-4,4,-8,-5,0.0,-12.333333333333334,-9.0,0.0,-5.333333333333333,-9.0,-31.0,-23.666666666666668,-29.666666666666668,-53.333333333333336,25.333333333333332,18.666666666666668,14.333333333333334,-22.333333333333332,-7.666666666666667,-33.666666666666664,0.0,0.0,0.0,0.0,5.333333333333333,-5.333333333333333,-1.6666666666666667,0.3333333333333333,1.0
